metric,value
pixel_accuracy,0.927082
mean_iou,0.622758
average_processing_time_seconds,0.002145
average_processing_time_ms,2.145

filename,processing_time_seconds,processing_time_ms
7,4675018,4597964,4147760,5125222,0.809284,present
8,376236,366025,334025,408236,0.818215,present
9,34149,27509,17288,44370,0.389633,present
10,1285617,1310492,1267725,1328384,0.954336,present
11,4099455,4081622,3771569,4409508,0.855326,present
12,932947,932768,852975,1012740,0.842245,present
13,6376874,6337546,5802574,6911846,0.839511,present
14,1219951,1246338,1172462,1293827,0.906197,present
15,332206,289331,202144,419393,0.481992,present
16,4745,9,9,4745,0.001897,present
17,1978,1085,865,2198,0.393540,present
18,466908,510144,409051,568001,0.720159,present
19,2732858,2512718,2125049,3120527,0.680990,present
20,3759,519,450,3828,0.117555,present
21,70403,59037,43962,85478,0.514308,present
22,109386,113930,97391,125925,0.773405,present
23,353558,346911,337667,362802,0.930720,present
24,68854,71067,57084,82837,0.689112,present
