metric,value
pixel_accuracy,0.917865
mean_iou,0.597710
average_processing_time_seconds,0.002419
average_processing_time_ms,2.419

filename,processing_time_seconds,processing_time_ms
7,4675018,4751460,4295313,5131165,0.837103,present
8,376236,404929,348164,433001,0.804072,present
9,34149,85320,19075,100394,0.190001,present
10,1285617,1305874,1260427,1331064,0.946932,present
11,4099455,4363067,3877597,4584925,0.845727,present
12,932947,992364,865965,1059346,0.817452,present
13,6376874,6568601,5821944,7123531,0.817283,present
14,1219951,1339749,1195993,1363707,0.877016,present
15,332206,461395,245241,548360,0.447226,present
16,4745,0,0,4745,0.000000,present_in_gt_not_predicted
17,1978,3165,1493,3650,0.409041,present
18,466908,577510,422512,621906,0.679382,present
19,2732858,3104691,2264391,3573158,0.633723,present
20,3759,355,184,3930,0.046819,present
21,70403,70013,48233,92183,0.523231,present
22,109386,153305,105811,156880,0.674471,present
23,353558,355368,341533,367393,0.929612,present
24,68854,87755,62930,93679,0.671762,present
